seqnames,start,end,width,strand,WT1,WT2,WT3,KO1,KO2
chr8,115707702,115708102,401,*,58.6,38.26,30.04,3.84,1.82
chr17,34261535,34261935,401,*,37.08,18.26,20.32,90.93,94.45
chr18,61105634,61106034,401,*,31.1,16.52,19.44,55.07,98.09
chr3,156561593,156561993,401,*,45.45,35.65,22.09,102.45,121.7
chr10,40372350,40372750,401,*,16.74,7.83,8.84,39.7,38.14
chr13,56353144,56353544,401,*,10.76,13.91,15.9,42.26,45.41
chr9,66350223,66350623,401,*,23.92,17.39,19.44,38.42,90.82
chr15,75862115,75862515,401,*,11.96,9.56,15.02,30.74,48.13
chr9,44570919,44571319,401,*,25.12,20.87,18.55,40.98,92.64
chr17,34257615,34258015,401,*,43.06,15.65,23.86,78.12,92.64
chr15,58325336,58325736,401,*,10.76,10.43,9.72,33.3,33.6
chr1,84363173,84363573,401,*,14.35,7.83,8.84,30.74,36.33
chr10,13301021,13301421,401,*,14.35,11.3,8.84,30.74,40.87
chr4,133498356,133498756,401,*,23.92,12.17,26.51,44.82,83.55
chr2,73038368,73038768,401,*,13.16,15.65,7.95,39.7,36.33
chr2,29802418,29802818,401,*,33.49,23.48,25.62,56.35,100.81
chr6,114362368,114362768,401,*,9.57,7.83,15.9,28.17,43.59
chr8,85515400,85515800,401,*,89.7,53.04,55.66,25.61,19.07
chr18,32359277,32359677,401,*,13.16,7.83,15.9,39.7,35.42
chr18,82422041,82422441,401,*,25.12,12.17,13.25,42.26,54.49
chr11,109413588,109413988,401,*,11.96,10.43,11.49,34.58,33.6
chr12,32717478,32717878,401,*,37.08,17.39,29.16,6.4,8.17
chr8,3664408,3664808,401,*,10.76,5.22,5.3,26.89,25.43
chr14,27142693,27143093,401,*,8.37,12.17,4.42,24.33,34.51
chr18,37765697,37766097,401,*,4.78,7.83,7.07,23.05,27.25
chr11,95336737,95337137,401,*,17.94,15.65,16.79,39.7,50.86
chr4,152362175,152362575,401,*,14.35,18.26,15.9,33.3,57.22
chr4,132983064,132983464,401,*,11.96,13.04,17.67,30.74,49.95
chr13,52636120,52636520,401,*,13.16,10.43,7.07,29.45,32.7
chr17,48347273,48347673,401,*,17.94,15.65,23.86,40.98,61.76
chr4,129335750,129336150,401,*,15.55,6.09,9.72,20.49,46.32
chr5,115897059,115897459,401,*,23.92,8.69,7.07,33.3,47.23
chr5,135722155,135722555,401,*,7.18,7.83,8.84,26.89,26.34
chr5,117307668,117308068,401,*,10.76,8.69,8.84,28.17,29.97
chr18,47172481,47172881,401,*,153.09,50.43,36.22,17.93,26.34
chr7,71873747,71874147,401,*,113.62,41.74,33.57,25.61,10.9
chr8,69920247,69920647,401,*,23.92,23.48,16.79,34.58,85.37
chr11,22695171,22695571,401,*,35.88,33.91,26.51,5.12,14.53
chr8,32009476,32009876,401,*,46.64,29.56,30.92,10.25,13.62
chr2,18976194,18976594,401,*,10.76,6.09,9.72,29.45,26.34
chr15,78607533,78607933,401,*,19.14,16.52,16.79,33.3,59.03
chr4,120854607,120855007,401,*,16.74,12.17,15.02,33.3,44.5
chr12,116596960,116597360,401,*,14.35,13.91,14.14,42.26,33.6
chr17,34287705,34288105,401,*,38.27,19.13,23.86,64.03,75.38
chr7,44496358,44496758,401,*,55.02,37.39,45.94,97.33,132.6
chr15,57929377,57929777,401,*,17.94,9.56,7.95,25.61,42.69
chr10,28074570,28074970,401,*,66.98,39.13,30.92,14.09,17.26
chr4,124657353,124657753,401,*,21.53,14.78,18.55,37.14,57.22
chr7,71784993,71785393,401,*,35.88,22.61,18.55,7.68,7.27
chr8,42210015,42210415,401,*,75.35,40,22.09,17.93,10.9
chr15,76722562,76722962,401,*,25.12,15.65,17.67,35.86,66.3
chr19,6242291,6242691,401,*,23.92,13.91,16.79,38.42,55.4
chr2,173605664,173606064,401,*,19.14,13.04,8.84,24.33,53.58
chr4,89281998,89282398,401,*,23.92,15.65,14.14,42.26,49.04
chr14,25646064,25646464,401,*,20.33,23.48,20.32,43.54,63.57
chr8,4275751,4276151,401,*,29.9,22.61,30.04,47.38,95.36
chr11,96824053,96824453,401,*,15.55,16.52,14.14,29.45,51.77
chr9,42128054,42128454,401,*,13.16,15.65,14.14,35.86,39.05
chr7,16299635,16300035,401,*,32.29,14.78,19.44,47.38,67.21
chr8,3392765,3393165,401,*,20.33,13.04,12.37,34.58,44.5
chr15,79037816,79038216,401,*,14.35,8.69,12.37,24.33,41.78
chr19,10304796,10305196,401,*,16.74,14.78,24.74,29.45,74.47
chr8,121877246,121877646,401,*,20.33,13.91,16.79,38.42,47.23
chr13,111655254,111655654,401,*,14.35,10.43,8.84,26.89,35.42
chr13,29610595,29610995,401,*,43.06,28.69,20.32,8.96,10.9
chr14,31160459,31160859,401,*,25.12,16.52,15.9,34.58,64.48
chr3,57846992,57847392,401,*,7.18,6.09,6.18,19.21,26.34
chr3,19460620,19461020,401,*,58.6,23.48,15.9,7.68,10.9
chr12,105722692,105723092,401,*,10.76,10.43,6.18,25.61,29.06
chr4,131843280,131843680,401,*,19.14,12.17,22.97,30.74,66.3
chr16,10433292,10433692,401,*,25.12,20,15.02,46.1,52.68
chr1,64078312,64078712,401,*,15.55,7.83,8.84,33.3,27.25
chr4,142081712,142082112,401,*,28.7,18.26,15.02,37.14,69.02
chr6,51170932,51171332,401,*,16.74,8.69,15.02,32.02,39.05
chr7,126759316,126759716,401,*,25.12,22.61,31.81,43.54,91.73
chr7,96482977,96483377,401,*,22.72,14.78,15.9,37.14,50.86
chr5,143579748,143580148,401,*,23.92,16.52,23.86,42.26,62.67
chr14,70308629,70309029,401,*,17.94,17.39,15.02,24.33,65.39
chr2,30718280,30718680,401,*,21.53,18.26,20.32,39.7,57.22
chr14,32785729,32786129,401,*,31.1,20,21.2,52.51,62.67
chr19,36792553,36792953,401,*,17.94,13.04,6.18,29.45,38.14
chr15,80977611,80978011,401,*,23.92,15.65,15.02,30.74,61.76
chr11,101467908,101468308,401,*,19.14,14.78,22.97,32.02,64.48
chr8,105700958,105701358,401,*,22.72,13.04,17.67,28.17,64.48
chr5,49524711,49525111,401,*,17.94,7.83,8.84,32.02,30.88
chr2,181680127,181680527,401,*,19.14,13.04,21.2,43.54,43.59
chr13,36534139,36534539,401,*,34.68,15.65,17.67,43.54,71.75
chr16,25504756,25505156,401,*,46.64,25.22,13.25,8.96,8.17
chr15,101381724,101382124,401,*,14.35,18.26,14.14,29.45,49.04
chr15,81831419,81831819,401,*,35.88,20.87,20.32,39.7,93.55
chr10,80855067,80855467,401,*,19.14,11.3,22.97,34.58,55.4
chr15,88508982,88509382,401,*,27.51,15.65,7.95,37.14,52.68
chr2,32631697,32632097,401,*,14.35,9.56,13.25,28.17,36.33
chr13,55714445,55714845,401,*,25.12,20,21.2,34.58,75.38
chr13,73489988,73490388,401,*,15.55,13.04,12.37,33.3,35.42
chr2,144255071,144255471,401,*,26.31,10.43,22.09,1.28,7.27
chr4,99158492,99158892,401,*,14.35,6.96,9.72,34.58,23.61
chr1,180641117,180641517,401,*,31.1,22.61,30.92,44.82,94.45
chr18,47306310,47306710,401,*,39.47,20,24.74,8.96,9.99
chr8,127814779,127815179,401,*,25.12,17.39,19.44,34.58,66.3
chr19,40873282,40873682,401,*,27.51,16.52,27.39,42.26,73.56
chr18,60803540,60803940,401,*,83.72,42.6,28.27,128.06,138.96
chr8,122112228,122112628,401,*,14.35,13.91,18.55,26.89,51.77
chr10,37106231,37106631,401,*,3.59,8.69,7.95,23.05,22.71
chr11,117076565,117076965,401,*,22.72,8.69,11.49,19.21,61.76
chr7,101551552,101551952,401,*,20.33,24.35,16.79,34.58,65.39
chr10,78481834,78482234,401,*,28.7,13.91,15.02,35.86,59.03
chr1,38012130,38012530,401,*,25.12,11.3,12.37,34.58,46.32
chr1,135132435,135132835,401,*,39.47,20.87,17.67,49.94,78.11
chr13,63701829,63702229,401,*,26.31,16.52,15.02,33.3,60.85
chr8,85555196,85555596,401,*,69.37,32.17,42.41,93.49,141.68
chr5,139791254,139791654,401,*,62.19,46.08,49.48,75.56,188.91
chr10,59236462,59236862,401,*,19.14,13.91,7.07,33.3,35.42
chr19,37018456,37018856,401,*,23.92,11.3,11.49,26.89,52.68
chr8,70152557,70152957,401,*,7.18,9.56,15.02,25.61,32.7
chr11,62551341,62551741,401,*,21.53,21.74,18.55,30.74,69.93
chr5,92369068,92369468,401,*,14.35,8.69,13.25,32.02,29.97
chr4,15288831,15289231,401,*,16.74,13.04,7.07,28.17,35.42
chr7,126897308,126897708,401,*,16.74,8.69,11.49,24.33,39.05
chr11,94677298,94677698,401,*,35.88,23.48,48.59,56.35,127.15
chr18,47358185,47358585,401,*,29.9,22.61,12.37,6.4,6.36
chr9,14203823,14204223,401,*,55.02,26.95,22.97,10.25,14.53
chr5,121191239,121191639,401,*,22.72,32.17,35.34,37.14,122.61
chr14,23824961,23825361,401,*,43.06,23.48,26.51,67.87,75.38
chr8,27174487,27174887,401,*,28.7,17.39,18.55,43.54,56.31
chr3,86947466,86947866,401,*,57.41,25.22,15.02,10.25,10.9
chr2,163017181,163017581,401,*,50.23,27.82,48.59,76.84,124.42
chr11,50131148,50131548,401,*,32.29,23.48,23.86,39.7,88.1
chr13,34130316,34130716,401,*,19.14,7.83,22.09,40.98,40.87
chr13,52929474,52929874,401,*,45.45,38.26,34.46,62.75,122.61
chr16,32332008,32332408,401,*,28.7,13.91,27.39,37.14,79.01
chr4,127125825,127126225,401,*,34.68,24.35,25.62,48.66,81.74
chr5,115326895,115327295,401,*,44.25,27.82,37.99,62.75,108.98
chr9,67840138,67840538,401,*,38.27,27.82,42.41,61.47,108.08
chr4,156202919,156203319,401,*,22.72,21.74,15.9,37.14,56.31
chr7,127768896,127769296,401,*,38.27,26.95,38.87,67.87,89
chr2,118601851,118602251,401,*,16.74,11.3,12.37,29.45,36.33
chr17,34347599,34347999,401,*,51.43,23.48,27.39,75.56,85.37
chr12,25378094,25378494,401,*,15.55,7.83,14.14,29.45,33.6
chr5,123930462,123930862,401,*,26.31,20,32.69,39.7,88.1
chr4,129513399,129513799,401,*,56.21,40.87,44.18,87.08,124.42
chr6,114742234,114742634,401,*,22.72,11.3,16.79,33.3,47.23
chr8,47461606,47462006,401,*,59.8,25.22,34.46,11.53,18.16
chr1,24471225,24471625,401,*,45.45,46.95,22.09,14.09,15.44
chr11,98438805,98439205,401,*,33.49,17.39,36.22,44.82,99.9
chr19,10203992,10204392,401,*,31.1,21.74,22.09,34.58,87.19
chr8,111094368,111094768,401,*,37.08,26.08,30.92,42.26,111.71
chr17,29716865,29717265,401,*,27.51,19.13,26.51,32.02,89
chr14,55386753,55387153,401,*,59.8,32.17,34.46,21.77,11.81
chrX,73967589,73967989,401,*,16.74,13.04,12.37,26.89,40.87
chr11,72607634,72608034,401,*,20.33,6.09,24.74,35.86,52.68
chr7,64357422,64357822,401,*,20.33,11.3,7.95,33.3,32.7
chr5,112342879,112343279,401,*,27.51,20,30.92,33.3,98.09
chr7,127244287,127244687,401,*,44.25,26.95,33.57,53.79,111.71
chr17,27133718,27134118,401,*,28.7,15.65,24.74,30.74,84.46
chr19,29383374,29383774,401,*,7.18,15.65,11.49,32.02,28.15
chr4,86632439,86632839,401,*,20.33,11.3,13.25,32.02,39.05
chr2,117304006,117304406,401,*,14.35,9.56,16.79,34.58,31.79
chr1,34315466,34315866,401,*,33.49,19.13,14.14,2.56,9.99
chr4,155178997,155179397,401,*,19.14,4.35,8.84,17.93,43.59
chr11,116306574,116306974,401,*,22.72,11.3,25.62,25.61,78.11
chr10,128589584,128589984,401,*,16.74,11.3,10.6,32.02,30.88
chr1,171616919,171617319,401,*,23.92,16.52,14.14,30.74,54.49
chr1,155070479,155070879,401,*,27.51,11.3,17.67,40.98,47.23
chr1,138243978,138244378,401,*,21.53,10.43,10.6,38.42,30.88
chr5,99336422,99336822,401,*,31.1,18.26,17.67,43.54,58.13
chr5,134607148,134607548,401,*,23.92,11.3,16.79,33.3,48.13
chr6,72544161,72544561,401,*,20.33,6.09,14.14,34.58,33.6
chr16,42180015,42180415,401,*,51.43,29.56,19.44,14.09,10.9
chr14,32085425,32085825,401,*,72.96,40,46.83,90.93,158.03
chr15,101977346,101977746,401,*,61,39.13,38.87,75.56,139.86
chr17,43557186,43557586,401,*,19.14,10.43,9.72,33.3,30.88
chr5,122284106,122284506,401,*,28.7,13.91,40.64,49.94,88.1
chr13,24105303,24105703,401,*,35.88,15.65,12.37,47.38,55.4
chr2,33431288,33431688,401,*,26.31,17.39,27.39,37.14,73.56
chr11,59948006,59948406,401,*,23.92,16.52,25.62,30.74,75.38
chr10,80475265,80475665,401,*,33.49,16.52,36.22,39.7,106.26
chr7,25619171,25619571,401,*,32.29,25.22,25.62,43.54,82.65
chr17,26167991,26168391,401,*,15.55,8.69,25.62,25.61,60.85
chr15,81399541,81399941,401,*,43.06,33.91,37.99,56.35,121.7
chr7,122020957,122021357,401,*,35.88,26.08,22.97,38.42,98.09
chr7,127449029,127449429,401,*,28.7,11.3,22.09,28.17,77.2
chr13,46669281,46669681,401,*,37.08,24.35,26.51,43.54,93.55
chr16,30510499,30510899,401,*,15.55,14.78,13.25,26.89,41.78
chr10,80999825,81000225,401,*,21.53,19.13,22.97,26.89,76.29
chr2,73486261,73486661,401,*,21.53,17.39,9.72,34.58,41.78
chr4,140906094,140906494,401,*,31.1,19.13,20.32,28.17,89.91
chr15,79074930,79075330,401,*,22.72,21.74,26.51,33.3,78.11
chr15,84994504,84994904,401,*,26.31,14.78,22.97,37.14,60.85
chr4,120405164,120405564,401,*,32.29,18.26,26.51,40.98,78.11
chr2,181678766,181679166,401,*,25.12,8.69,19.44,38.42,46.32
chr5,139325355,139325755,401,*,22.72,21.74,19.44,28.17,73.56
chr7,114817521,114817921,401,*,25.12,12.17,15.9,32.02,50.86
chr6,72164870,72165270,401,*,13.16,12.17,13.25,24.33,38.14
chr8,126615876,126616276,401,*,29.9,15.65,19.44,39.7,59.03
chr3,50406773,50407173,401,*,44.25,21.74,15.9,64.03,65.39
chr8,121829424,121829824,401,*,35.88,17.39,19.44,40.98,72.66
chr4,33497302,33497702,401,*,33.49,29.56,20.32,14.09,7.27
chr3,19474088,19474488,401,*,138.73,60.86,27.39,20.49,14.53
chr6,53068026,53068426,401,*,29.9,20,12.37,33.3,66.3
chr2,166623128,166623528,401,*,25.12,16.52,24.74,37.14,63.57
chr19,3687782,3688182,401,*,32.29,25.22,24.74,43.54,79.92
chr2,152686820,152687220,401,*,25.12,13.04,12.37,25.61,56.31
chr12,80463118,80463518,401,*,45.45,22.61,21.2,55.07,83.55
chr17,34119218,34119618,401,*,66.98,40.87,55.66,80.68,176.19
chr11,95006523,95006923,401,*,17.94,14.78,11.49,28.17,40.87
chr3,9608958,9609358,401,*,26.31,12.17,18.55,42.26,44.5
chr14,66280855,66281255,401,*,20.33,12.17,14.14,29.45,42.69
chr2,165319469,165319869,401,*,23.92,9.56,25.62,37.14,57.22
chr6,115666641,115667041,401,*,15.55,7.83,8.84,25.61,29.06
chr2,164497276,164497676,401,*,27.51,13.91,20.32,30.74,66.3
chr15,83408177,83408577,401,*,29.9,13.04,24.74,49.94,52.68
chr9,119444696,119445096,401,*,43.06,26.95,25.62,53.79,89.91
chr11,102248600,102249000,401,*,25.12,9.56,9.72,24.33,49.95
chr11,70130049,70130449,401,*,29.9,16.52,17.67,29.45,72.66
chr5,120116233,120116633,401,*,51.43,28.69,32.69,55.07,122.61
chr8,69903081,69903481,401,*,46.64,30.43,39.76,57.63,121.7
chr15,83033146,83033546,401,*,25.12,22.61,23.86,42.26,61.76
chrX,167850174,167850574,401,*,38.27,26.08,15.02,7.68,10.9
chr15,59665424,59665824,401,*,39.47,17.39,24.74,7.68,11.81
chr13,95618356,95618756,401,*,16.74,16.52,22.09,39.7,42.69
chr2,160275940,160276340,401,*,27.51,18.26,21.2,42.26,55.4
chr8,123212642,123213042,401,*,37.08,20,26.51,42.26,86.28
chr18,47368734,47369134,401,*,141.13,67.82,49.48,40.98,27.25
chr9,83599493,83599893,401,*,44.25,23.48,14.14,8.96,9.99
chr15,96641473,96641873,401,*,23.92,22.61,12.37,44.82,43.59
chr4,123952029,123952429,401,*,22.72,17.39,12.37,30.74,49.04
chr7,139971418,139971818,401,*,22.72,10.43,3.53,28.17,37.24
chr15,78532116,78532516,401,*,21.53,17.39,26.51,30.74,70.84
chr8,123102197,123102597,401,*,37.08,16.52,22.09,29.45,98.99
chr6,100381053,100381453,401,*,33.49,13.91,22.97,39.7,69.02
chr14,13551161,13551561,401,*,39.47,16.52,17.67,62.75,50.86
chr12,36945946,36946346,401,*,66.98,28.69,21.2,20.49,8.17
chr17,65635753,65636153,401,*,13.16,10.43,7.95,23.05,29.97
chr16,32401538,32401938,401,*,20.33,13.04,16.79,28.17,48.13
chr17,86903608,86904008,401,*,16.74,6.96,7.07,26.89,26.34
chr17,34305608,34306008,401,*,49.04,16.52,18.55,62.75,71.75
chr19,11044973,11045373,401,*,25.12,12.17,20.32,26.89,64.48
chr15,103163171,103163571,401,*,21.53,15.65,23.86,33.3,58.13
chr4,150117284,150117684,401,*,28.7,11.3,19.44,34.58,57.22
chr17,6827671,6828071,401,*,29.9,11.3,26.51,43.54,60.85
chr9,22096009,22096409,401,*,34.68,14.78,19.44,33.3,76.29
chr17,12249900,12250300,401,*,35.88,28.69,25.62,64.03,63.57
chr4,120054128,120054528,401,*,37.08,13.91,11.49,46.1,53.58
chr15,100461703,100462103,401,*,21.53,13.91,16.79,30.74,47.23
chr11,94937004,94937404,401,*,20.33,14.78,22.09,34.58,49.95
chr17,34304725,34305125,401,*,34.68,20.87,23.86,43.54,73.56
chr12,25516766,25517166,401,*,29.9,8.69,13.25,30.74,53.58
chr15,80132910,80133310,401,*,34.68,26.08,29.16,39.7,98.09
chr12,112864798,112865198,401,*,39.47,23.48,20.32,42.26,85.37
chr4,126103097,126103497,401,*,26.31,26.95,26.51,48.66,64.48
chr4,43031254,43031654,401,*,44.25,23.48,22.97,56.35,78.11
chr17,35200442,35200842,401,*,32.29,20,23.86,44.82,65.39
chr17,34024488,34024888,401,*,35.88,26.95,32.69,43.54,100.81
chr15,97705628,97706028,401,*,27.51,17.39,22.09,32.02,69.02
chr2,29889489,29889889,401,*,69.37,39.13,51.24,75.56,171.65
chr13,89384648,89385048,401,*,35.88,13.91,7.95,57.63,39.05
chr2,130179174,130179574,401,*,35.88,24.35,23.86,40.98,84.46
chr6,115360862,115361262,401,*,35.88,19.13,26.51,40.98,81.74
chr4,141546473,141546873,401,*,26.31,13.04,22.09,29.45,65.39
chr1,155059501,155059901,401,*,27.51,19.13,20.32,35.86,61.76
chr11,77078265,77078665,401,*,35.88,24.35,28.27,38.42,97.18
chr17,81787351,81787751,401,*,11.96,8.69,14.14,28.17,28.15
chr17,59033471,59033871,401,*,38.27,25.22,16.79,10.25,9.99
chr12,111758666,111759066,401,*,26.31,20,20.32,34.58,62.67
chr12,70695031,70695431,401,*,15.55,23.48,16.79,42.26,39.96
chr11,96765643,96766043,401,*,34.68,26.95,30.92,57.63,71.75
chr12,18609862,18610262,401,*,25.12,15.65,21.2,30.74,61.76
chr2,167015060,167015460,401,*,22.72,14.78,26.51,28.17,71.75
chr17,47511079,47511479,401,*,37.08,23.48,50.36,49.94,128.06
chr16,91646847,91647247,401,*,39.47,22.61,33.57,46.1,98.09
chr15,76607420,76607820,401,*,35.88,17.39,30.92,44.82,81.74
chr4,135494404,135494804,401,*,37.08,14.78,22.09,34.58,82.65
chr5,114813779,114814179,401,*,23.92,11.3,21.2,26.89,60.85
chr17,34234942,34235342,401,*,14.35,11.3,8.84,20.49,35.42
chr6,51178431,51178831,401,*,50.23,15.65,15.9,62.75,69.02
chr13,51651503,51651903,401,*,44.25,27.82,33.57,44.82,118.97
chr14,31830567,31830967,401,*,76.54,44.34,50.36,83.24,177.1
chr4,143212452,143212852,401,*,46.64,20.87,39.76,49.94,119.88
chr5,134184304,134184704,401,*,46.64,33.04,48.59,57.63,138.05
chr9,61914390,61914790,401,*,39.47,21.74,40.64,49.94,105.35
chr11,115536145,115536545,401,*,55.02,33.91,53.89,71.72,141.68
chr14,32201736,32202136,401,*,27.51,20,29.16,37.14,76.29
chr15,83367192,83367592,401,*,39.47,15.65,29.16,44.82,84.46
chr14,60444175,60444575,401,*,25.12,13.04,15.9,33.3,46.32
chr11,103992670,103993070,401,*,16.74,12.17,19.44,23.05,51.77
chr11,75348218,75348618,401,*,61,34.78,48.59,66.59,154.39
chr2,130906251,130906651,401,*,61,29.56,34.46,71.72,114.43
chr1,118507505,118507905,401,*,14.35,11.3,5.3,26.89,25.43
chr8,84042073,84042473,401,*,23.92,16.52,20.32,34.58,52.68
chr11,114812645,114813045,401,*,16.74,16.52,9.72,28.17,37.24
chr11,78176393,78176793,401,*,38.27,21.74,25.62,42.26,84.46
chr9,119418002,119418402,401,*,29.9,10.43,16.79,39.7,46.32
chr8,70042565,70042965,401,*,37.08,23.48,33.57,44.82,94.45
chr17,26538054,26538454,401,*,17.94,10.43,17.67,26.89,42.69
chr19,5875112,5875512,401,*,28.7,20.87,21.2,25.61,86.28
chr2,71327088,71327488,401,*,27.51,20.87,21.2,42.26,55.4
chr5,122769272,122769672,401,*,26.31,15.65,23.86,33.3,63.57
chr15,96377269,96377669,401,*,33.49,10.43,15.9,46.1,45.41
chr7,45124243,45124643,401,*,49.04,37.39,36.22,56.35,125.33
chr2,94388989,94389389,401,*,20.33,13.91,11.49,30.74,37.24
chr5,121545791,121546191,401,*,23.92,13.04,37.11,34.58,85.37
chr8,120668015,120668415,401,*,49.04,30.43,49.48,56.35,142.59
chr5,36748453,36748853,401,*,23.92,20.87,22.97,34.58,62.67
chr10,60260552,60260952,401,*,45.45,30.43,16.79,64.03,73.56
chr14,7857857,7858257,401,*,13.16,3.48,8.84,23.05,23.61
chr6,121272525,121272925,401,*,22.72,15.65,22.09,37.14,49.04
chr4,155803381,155803781,401,*,26.31,32.17,39.76,51.23,90.82
chr19,41332203,41332603,401,*,13.16,14.78,17.67,28.17,39.96
chr4,139430155,139430555,401,*,22.72,13.91,20.32,28.17,56.31
chr16,36709448,36709848,401,*,29.9,22.61,22.97,46.1,59.03
chr9,57467864,57468264,401,*,26.31,19.13,23.86,25.61,82.65
chr1,171827689,171828089,401,*,25.12,18.26,11.49,32.02,49.04
chr5,30869378,30869778,401,*,28.7,16.52,27.39,34.58,73.56
chr15,76656787,76657187,401,*,38.27,17.39,37.11,39.7,108.08
chr2,168539740,168540140,401,*,27.51,25.22,27.39,40.98,72.66
chr17,32091210,32091610,401,*,25.12,17.39,18.55,29.45,59.94
chr3,103206409,103206809,401,*,20.33,12.17,16.79,39.7,32.7
chr4,142074087,142074487,401,*,29.9,12.17,26.51,37.14,66.3
chr5,117133401,117133801,401,*,27.51,9.56,19.44,35.86,49.04
chr10,121461557,121461957,401,*,22.72,11.3,13.25,29.45,40.87
chr4,133574528,133574928,401,*,15.55,12.17,22.97,25.61,51.77
chr5,105661889,105662289,401,*,22.72,17.39,11.49,42.26,33.6
chr6,118479098,118479498,401,*,39.47,26.95,19.44,44.82,80.83
chr6,115601675,115602075,401,*,28.7,18.26,25.62,33.3,73.56
chr7,99625769,99626169,401,*,34.68,13.91,28.27,37.14,80.83
chr1,153487503,153487903,401,*,40.66,14.78,25.62,38.42,88.1
chr4,127242754,127243154,401,*,23.92,16.52,14.14,34.58,43.59
chr11,53350587,53350987,401,*,69.37,42.6,53.01,84.52,153.49
chr17,28801475,28801875,401,*,52.62,23.48,31.81,48.66,118.97
chr10,80387560,80387960,401,*,22.72,20,34.46,35.86,79.92
chr2,29890209,29890609,401,*,19.14,13.04,17.67,24.33,49.95
chr11,77763071,77763471,401,*,25.12,13.91,28.27,30.74,71.75
chr17,74316267,74316667,401,*,47.84,33.91,23.86,58.91,93.55
chr8,115743415,115743815,401,*,17.94,6.09,11.49,24.33,32.7
chr2,130697455,130697855,401,*,23.92,13.91,17.67,25.61,57.22
chr5,114941976,114942376,401,*,23.92,20,20.32,28.17,66.3
chr17,24414398,24414798,401,*,64.58,42.6,46.83,79.4,140.77
chr18,68889465,68889865,401,*,52.62,21.74,17.67,5.12,16.35
chr2,167661449,167661849,401,*,71.76,49.56,53.89,83.24,171.65
chr13,99287877,99288277,401,*,19.14,12.17,15.9,28.17,40.87
chr9,118662539,118662939,401,*,11.96,7.83,15.02,28.17,27.25
chr19,42045237,42045637,401,*,38.27,25.22,29.16,51.23,78.11
chr7,142533001,142533401,401,*,23.92,16.52,17.67,17.93,76.29
chr5,25498173,25498573,401,*,23.92,25.22,24.74,46.1,55.4
chr11,61854878,61855278,401,*,34.68,17.39,22.97,24.33,98.99
chr11,106216256,106216656,401,*,46.64,26.95,27.39,34.58,129.87
chr7,45628710,45629110,401,*,35.88,24.35,29.16,42.26,86.28
chr17,48324286,48324686,401,*,10.76,6.96,18.55,24.33,34.51
chr15,26360330,26360730,401,*,29.9,13.04,13.25,44.82,38.14
chr2,45089495,45089895,401,*,13.16,13.04,9.72,29.45,26.34
chr17,46782481,46782881,401,*,26.31,15.65,24.74,32.02,65.39
chr19,46045046,46045446,401,*,40.66,27.82,36.22,51.23,98.09
chr6,115544470,115544870,401,*,31.1,12.17,30.04,39.7,70.84
chr18,35553170,35553570,401,*,33.49,18.26,24.74,39.7,69.93
chr12,84408815,84409215,401,*,44.25,28.69,46.83,52.51,127.15
chr11,28439852,28440252,401,*,86.11,44.34,35.34,26.89,20.89
chr10,83946501,83946901,401,*,21.53,13.91,18.55,26.89,51.77
chr9,26783426,26783826,401,*,44.25,22.61,20.32,75.56,51.77
chr10,80264731,80265131,401,*,49.04,30.43,57.43,58.91,151.67
